date_time,date,time,hhmm,am_flag,Tambient,Tcontainer_1,Tcontainer_2,Pyranometer_Gt_Row1,Pyranometer_Gt_Row2,Pyranometer_Gt_Row3,Pyranometer_Gt_Row4,Pyranometer_Gh,Humidity,APE,WD,WS
2019-01-03T09:00:00.000+04:00,03.01.2019,09:00-09:15,09:00,AM,21.87,19.51,39.64,468.525,592.605,579.144,595.569,397.09,30.296,0.0,136.0342,2.9746
2019-01-04T15:45:00.000+04:00,04.01.2019,15:45-16:00,15:45,PM,27.47,19.52,5.34,288.393,369.796,379.512,377.039,270.239,39.352,0.0,302.1245,3.6849
2019-01-02T09:45:00.000+04:00,02.01.2019,09:45-10:00,09:45,AM,23.41,20.06,36.12,495.759,611.857,602.975,563.344,431.291,41.665,0.0,91.872,2.8435
2019-01-05T01:15:00.000+04:00,05.01.2019,01:15-01:30,01:15,AM,3.34,4.62,5.77,-0.599<,-0.628<,-0.563<,-0.581<,-0.663<,18.209,0.0,111.4768,1.0731
